sample_id,step,hot_set_overlap,churn_rate,spearman_rank_corr
local_07,10,1.0,0.0,0.9107142857142855
local_07,11,1.0,0.0,0.9571428571428571
local_07,12,1.0,0.0,0.9428571428571427
local_07,13,1.0,0.0,0.9928571428571428
local_07,14,1.0,0.0,0.9892857142857142
local_07,15,1.0,0.0,0.9749999999999999
local_08,0,nan,nan,nan
local_08,1,1.0,0.0,0.9516483516483516
local_08,2,1.0,0.0,0.9736263736263736
local_08,3,0.5,0.5,0.6964285714285713
local_08,4,1.0,0.0,0.9535714285714283
local_08,5,1.0,0.0,0.9428571428571427
local_08,6,1.0,0.0,0.95
local_08,7,1.0,0.0,0.9928571428571428
local_08,8,1.0,0.0,0.982142857142857
local_08,9,1.0,0.0,0.982142857142857
local_08,10,1.0,0.0,0.9785714285714284
local_08,11,1.0,0.0,0.9678571428571429
local_08,12,1.0,0.0,0.9714285714285713
local_08,13,1.0,0.0,0.9678571428571429
local_08,14,1.0,0.0,0.9785714285714284
local_08,15,1.0,0.0,0.9785714285714284
local_09,0,nan,nan,nan
local_09,1,1.0,0.0,0.9032967032967033
local_09,2,0.5,0.5,0.682142857142857
local_09,3,1.0,0.0,0.9214285714285713
local_09,4,1.0,0.0,0.9642857142857141
local_09,5,1.0,0.0,0.9535714285714283
local_09,6,1.0,0.0,0.9464285714285712
local_09,7,1.0,0.0,0.9785714285714284
local_09,8,1.0,0.0,0.9607142857142855
local_09,9,1.0,0.0,0.9214285714285713
local_09,10,1.0,0.0,0.9714285714285713
local_09,11,1.0,0.0,0.982142857142857
local_09,12,1.0,0.0,0.9785714285714284
local_09,13,1.0,0.0,0.982142857142857
local_09,14,1.0,0.0,0.9535714285714283
local_09,15,1.0,0.0,0.8142857142857142
local_10,0,nan,nan,nan
local_10,1,1.0,0.0,0.9384615384615385
